timestamps,open,high,low,close,volume,amount
2024-05-06,180.70544017490002,182.53874644704828,178.79283846563771,180.0712127685547,78569700,14148141165.861511
2024-05-07,181.79549235772294,183.2324120279765,179.68471275097576,180.7549591064453,77305800,13973406717.69104
2024-05-08,181.20094275555934,181.4189598584749,179.813559816899,181.09193420410156,45057100,8159477388.6276245
2024-05-09,180.9135439323752,182.99461071341904,180.46760537105857,182.90542602539062,48983000,8959256483.001709
2024-05-10,183.4809650708303,183.66950932429603,180.7322345449188,181.64517211914062,50759500,9220218114.181519
2024-05-13,184.01680743143146,185.6640710757596,183.2030934113359,184.85035705566406,72044800,13317507004.003906
2024-05-14,186.07090395104018,186.85484938535834,184.86026592315986,185.99151611328125,52393600,9744765098.632812
2024-05-15,186.46788560358823,189.18684774302332,185.9320213621053,188.2639923095703,70400000,13253785058.59375
2024-05-16,189.00821119957226,189.6333810173086,188.2044300863017,188.38304138183594,52845200,9955139498.431396
2024-05-17,188.0555735439889,189.34559954047234,187.72810435814964,188.41281127929688,41282900,7778227246.762085
2024-05-20,187.8769693298537,190.44708847543168,187.55941793463836,189.57383728027344,44361300,8409741867.741394
2024-05-21,189.62345487533878,191.2508679069906,189.45476137627725,190.87379455566406,42309400,8075755723.373413
2024-05-22,190.79440205142186,191.3401840301744,188.8097513226368,189.43490600585938,34648500,6563635340.744019
2024-05-23,189.51429520164533,189.5341459487459,185.19768892080702,185.44577026367188,51005900,9458828413.491821
2024-05-24,187.37087155015982,189.11735863774422,186.59684388111853,188.52195739746094,36327000,6848437146.377563
2024-05-28,190.04019905563405,191.51876909707792,187.6487067626696,188.53187561035156,52280100,9856465310.09674
2024-05-29,188.15483105781396,190.77456966628964,188.05559245514976,188.82960510253906,53068000,10020809483.581543
2024-05-30,189.29598343446253,190.70508365256933,189.16699143181853,189.82191467285156,49889100,9470044483.305359
2024-05-31,189.9707702687458,191.09210277636024,188.45251367186646,190.77455139160156,75158300,14338290965.855408
2024-06-03,191.41954585254337,193.49351725389894,191.04247253185534,192.54087829589844,50080500,9642543455.497742
2024-06-04,193.14618134943933,193.82097037667646,191.54853713018946,192.85841369628906,47471400,9155258899.942017
2024-06-05,193.90036613096368,195.38885414673365,193.3744349100596,194.36676025390625,54156800,10526281761.71875
2024-06-06,194.1881470745491,194.9919281725913,192.67980832687616,192.9874267578125,41181800,7947569611.254883
2024-06-07,193.15613762673084,195.4285713258788,192.65005711175448,195.3789520263672,53103900,10375384330.513
2024-06-10,195.3888517006261,195.7857909182053,190.6753063763642,191.6378631591797,97010200,18590827432.644653
2024-06-11,192.16378906024917,205.57011360777915,192.14395345618084,205.5601806640625,172373300,35433086689.660645
2024-06-12,205.7785169434978,218.5100538646653,205.3121227860245,211.43478393554688,198134300,41892482910.720825
2024-06-13,213.09195736730385,215.08652592836702,209.9760562824749,212.59579467773438,97862700,20805198475.808716
2024-06-14,212.20877015870124,213.51863167298376,209.67833763090172,210.8592071533203,70122700,14786016925.450134
2024-06-17,211.73244926121387,217.2696263789355,211.08744385812574,215.0071258544922,93728300,20152252394.2276
2024-06-18,215.9200623200828,216.95208913019513,211.36529274424583,212.6453857421875,79943300,16999573866.003418
2024-06-20,212.28816853161533,212.59580212894483,207.2471687535905,208.07078552246094,86172500,17929979765.434265
2024-06-21,208.77533580800622,210.26382387597764,205.5205097773767,205.89759826660156,241805100,49787089338.61542
2024-06-24,206.12584292738626,211.06761941054305,205.0045103276704,206.54261779785156,80727000,16673565906.967163
2024-06-25,207.54482679949032,209.75772308170346,207.0089778092255,207.4654541015625,55549700,11524643735.705566
2024-06-26,209.87680350658064,213.21101716086312,209.02340313251779,211.61337280273438,66213200,14011598576.062012
2024-06-27,213.04234702641065,214.08429174664712,210.72030917561003,212.45687866210938,49772700,10574552484.585571
2024-06-28,214.11402417940656,214.41172478378184,208.6860038316288,209.0035400390625,82542700,17251716504.382324
2024-07-01,210.46229254870087,215.84069445328046,210.29359904602236,215.08653259277344,60402900,12991850319.548035
2024-07-02,214.4911377013164,218.68868521261126,213.44920810314017,218.57952880859375,58046200,12687711045.129395
2024-07-03,218.31157833867707,219.8496856689453,217.34902153194005,219.8496856689453,37369800,8215738783.511353
2024-07-05,219.94891212590596,224.71207692855523,219.94891212590596,224.60292053222656,60412400,13568801476.361084
2024-07-08,225.34715532852172,226.1013322692385,221.53662969916704,226.07156372070312,59085900,13357641806.845093
2024-07-09,226.18068283390414,227.63940213609902,224.63265789484376,226.9249267578125,48076100,10909665471.30127
2024-07-10,227.54019053238477,231.29117889263895,227.49057123987387,231.1919403076172,62627700,14479019480.003357
2024-07-11,229.61414576243664,230.6064710416972,224.0372825383305,225.82347106933594,64710600,14613172306.97937
2024-07-12,227.1631286162611,230.8545803134063,226.92496506939614,228.77069091796875,53046500,12135484455.78003
2024-07-15,234.66511292556817,235.40935699641528,231.3011303310065,232.60107421875,62631300,14568107659.716797
2024-07-16,233.19644881294397,234.4567062015191,230.54694204130521,233.01783752441406,43234300,10074363092.881775
2024-07-17,227.6890612108438,229.6836449661141,224.9006292447048,227.12344360351562,57345900,13024598284.542847
2024-07-18,228.5126628842939,228.6714385621368,220.5641428905974,222.45947265625,66034600,14690022293.066406
2024-07-19,223.09458131167176,225.05938116686082,221.5663918696606,222.58848571777344,49151500,10940557955.757141
2024-07-22,225.2677604657143,226.03185518490554,221.37784711424985,222.24118041992188,48201800,10712424930.36499
2024-07-23,222.6480544130964,225.19833806517673,220.9710219946754,223.28314208984375,39960300,8922461342.852783
2024-07-24,222.28089648286087,223.0747598557794,215.46362561910502,216.86279296875,61777600,13397262878.90625
2024-07-25,217.24978234747041,219.15506035064124,212.97286249707204,215.8208465576172,51391200,11091292289.611816
2024-07-26,217.02154248476683,217.80548795978973,214.35218497553956,216.2872314453125,41601300,8997830001.525879
2024-07-29,215.29493390237633,217.61697179557376,214.0942134588753,216.5651092529297,36311800,7863868934.170532
2024-07-30,217.50779485320817,218.63904514115285,214.46134877521007,217.12078857421875,41643800,9041734695.22705
2024-07-31,219.7405227481965,222.10226187087767,218.93674165630796,220.3756103515625,50036300,11026780152.233887
2024-08-01,222.64801239186647,222.7571687754724,215.35443086006643,216.68414306640625,62501000,13542975625.793457
2024-08-02,217.46808032420208,223.86859053089324,216.03914463167754,218.17263793945312,105568600,23032179945.57495
2024-08-05,197.562059997048,211.8614726265992,194.4957781490091,207.6639404296875,119548600,24825933348.85254
2024-08-06,203.72440665766518,208.37841518370308,199.52687447574846,205.63958740234375,69660500,14324956478.240967
2024-08-07,205.31211338628992,212.00039184379946,204.80603289763474,208.209716796875,63516400,13224731655.957031
2024-08-08,211.47445056104476,212.5560815310077,207.22729938249148,211.67291259765625,47161100,9982727398.309326
2024-08-09,210.47223285968454,215.11630867247783,210.34322570654538,214.58045959472656,42201600,9055638723.632812
2024-08-12,214.65994894888794,218.07748700588166,214.1930149246267,216.11041259765625,38028100,8218268381.304932
2024-08-13,217.58072790378117,220.44193777769505,217.58072790378117,219.82598876953125,44155300,9706482481.915283
2024-08-14,219.13056699635618,221.57450454206742,218.2662343099079,220.27305603027344,41960600,9242789594.863892
2024-08-15,223.13426697458056,223.8793724762866,221.30626328939533,223.25347900390625,46414000,10362086974.487305
2024-08-16,222.45869413327577,225.34970708383625,222.19045191126241,224.57479858398438,44340200,9957691484.173584
2024-08-19,224.2469437652095,224.51518597934856,221.58442566604344,224.41583251953125,40687800,9130986510.388184
2024-08-20,224.2966382287883,225.68749582093912,223.97871925960482,225.03179931640625,30299000,6818238487.487793
2024-08-21,225.04172779494317,226.4921913011218,223.58131984717622,224.92250061035156,34765500,7819543194.969177
2024-08-22,226.30341677619586,226.84983046212884,222.43880384726458,223.064697265625,43695300,9746878866.430664
2024-08-23,224.187342377279,226.73063334528243,222.866020162344,225.35963439941406,38677300,8716302187.556458
2024-08-26,225.28014571740593,225.79675641202357,222.4288803537143,225.69740295410156,30602200,6906837064.682007
2024-08-27,224.52511915345738,227.35652605602343,223.4223624308928,226.5418701171875,35934600,8140691485.913086
2024-08-28,226.43257756563742,228.35991942602843,224.20719049274723,225.0119171142578,38052200,8562198472.415161
2024-08-29,228.59837969678284,231.3999685703833,227.38634017099784,228.29039001464844,51906300,11849709471.217346
2024-08-30,228.68776005113654,228.89638108151303,225.9954391052015,227.50552368164062,52990800,12055699704.309082
2024-09-03,227.05848641015993,227.50554667965343,219.72664341730942,221.3162078857422,50190600,11107993263.510132
2024-09-04,220.2134333758585,220.33264539565292,216.06070449558098,219.40872192382812,43840200,9618922250.88501
2024-09-05,220.1836359939166,224.00850159902006,220.07435325324454,220.92874145507812,36615400,8089394239.874268
2024-09-06,222.4884846157397,223.7700744804958,218.33577084564575,219.37892150878906,48423000,10622985516.220093
2024-09-09,219.37894424631622,219.82600453136772,215.29576534565257,219.46835327148438,67180000,14743883972.77832
2024-09-10,217.49133220778626,220.03462329185413,215.3156216628219,218.67356872558594,51591000,11281588084.121704
2024-09-11,220.01474349397893,221.63409569372266,216.46803428284608,221.2069091796875,44587100,9862974580.285645
2024-09-12,221.04796566036197,222.09111639532034,218.38546260882887,221.3162078857422,37455600,8289531356.085205
2024-09-13,222.12089674811224,222.57788625371046,220.461797151476,221.04794311523438,36766600,8127181305.340576
2024-09-16,215.126845002842,215.80241517960704,212.52394807405793,214.90829467773438,59357400,12756397610.50415
2024-09-17,214.34200737227792,215.48449636527135,213.10016491936787,215.37521362304688,45519300,9803728961.471558
2024-09-18,216.13026348358338,221.25659276615585,216.12031904206836,219.24977111816406,59894900,13131943116.145325
2024-09-19,223.52171975466862,228.32020097310811,223.16406850984052,227.3763885498047,66781300,15184490816.661072
2024-09-20,228.4692229235467,231.56885703306253,226.13455289925716,226.7107696533203,318679900,72248165402.04315
2024-09-23,225.85633703509038,227.95256742425389,224.33632328684277,224.9920196533203,54146000,12182417896.148682
2024-09-24,227.15781488965328,227.85325878901892,224.25687274556688,225.88616943359375,43556100,9838720584.466553
2024-09-25,223.46212556085433,225.80672508020004,222.55807563659724,224.89273071289062,42308700,9514919075.912476
2024-09-26,225.81663654010723,227.00880227293717,223.9389713421174,226.0352020263672,36636700,8281183886.079407
2024-09-27,226.9690772008412,228.02215721764472,225.81664372013879,226.30343627929688,34026000,7700200722.839355
2024-09-30,228.5387415800987,231.47943115234375,228.1512873446241,231.47943115234375,54541900,12625327985.968018
2024-10-01,228.02214574584622,228.15128705136544,222.2798675150603,224.73374938964844,63285000,14222275330.123901
2024-10-02,224.41581191372453,225.8861489969152,221.56454675744345,225.3000030517578,32880600,7407999280.343628
2024-10-03,223.67072564154154,225.3298253274289,221.8626109260752,224.197265625,34044200,7632616550.390625
2024-10-04,226.41271278943105,226.5120662505933,222.66732681912907,225.3199005126953,37245100,8392062226.585388
2024-10-07,223.0349151567562,224.2171516536621,219.8856043654075,220.24325561523438,39505400,8700797910.38208
2024-10-08,222.83622285599392,224.50525191173782,221.79307211654884,224.296630859375,31855700,7145126183.666992
2024-10-09,223.76015205132026,228.25065892191472,223.36276850208282,228.04202270507812,33591100,7660182388.88855
2024-10-10,226.2934858996686,228.00226223679437,225.68746620848788,227.54525756835938,28183500,6413021766.677856
2024-10-11,227.8035664938185,227.9128492283195,225.85635099522128,226.0649871826172,31759200,7179643140.930176
2024-10-14,227.20748901369805,230.21771386522883,227.1081507143634,229.79052734375,39882100,9164528790.576172
2024-10-15,232.08544385770335,235.9401275315396,230.853530735341,232.32388305664062,64751400,15043296681.35376
2024-10-16,230.0885464878877,230.60514196799298,228.34002283458457,230.26736450195312,34082200,7848018370.428467
2024-10-17,231.9066247344228,232.3238971476739,229.0156269629083,230.63497924804688,32993800,7609524378.314209
2024-10-18,234.6386615701971,234.6386615701971,232.4828249974097,233.46636962890625,46431500,10840193741.42456
2024-10-21,232.9199708414818,235.30431748145634,232.9199708414818,234.9367218017578,36254500,8517513380.561829
2024-10-22,232.36364046895116,234.67843677993508,231.0820656392084,234.32078552246094,38846600,9102565826.876831
2024-10-23,232.55239985265487,233.60547988580885,226.27363678517082,229.25405883789062,52287000,11987006974.456787
